,Unnamed: 0,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed,downscaled
711,1,21,84.18986511,-1,1.604810314,-1,93.5,0.215820667,189.0810583,b044d283-2d5c-4cfa-9323-d64557d1ce8d,4,celeba,200,3,20100000,TRUE
712,2,41,87.34584808,-1,0.516909158,-1,96,0.072097849,315.0229468,b044d283-2d5c-4cfa-9323-d64557d1ce8d,4,celeba,200,3,20100000,TRUE
713,3,61,87.57235718,-1,0.535807901,-1,96,0.088494245,439.8715281,b044d283-2d5c-4cfa-9323-d64557d1ce8d,4,celeba,200,3,20100000,TRUE
714,4,81,87.52705383,-1,0.52801673,-1,96,0.092778724,568.3950362,b044d283-2d5c-4cfa-9323-d64557d1ce8d,4,celeba,200,3,20100000,TRUE
715,5,100,87.56228638,-1,0.532448386,-1,96,0.097416017,695.768811,b044d283-2d5c-4cfa-9323-d64557d1ce8d,4,celeba,200,3,20100000,TRUE
716,0,1,58.87652969,-1,50.38135886,-1,75.375,14.78717126,75.60996914,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
717,1,11,92.67126465,-1,0.183548444,-1,90.59375,0.233406944,290.5635459,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
718,2,21,93.18971252,-1,0.170865969,-1,93.5,0.173326963,492.4852598,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
719,3,31,93.63768768,-1,0.177351334,-1,95.15625,0.125323123,694.0892081,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
720,4,41,90.04379272,-1,0.245722769,-1,94.5625,0.143093577,894.0780156,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
721,5,51,93.98500061,-1,0.16150498,-1,96.6875,0.089020521,1091.444379,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
722,6,61,93.92459869,-1,0.160119303,-1,97.84375,0.067906209,1291.966113,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
723,7,71,94.09573364,-1,0.159594577,-1,97.53125,0.070098415,1493.857699,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
724,8,81,93.90950012,-1,0.163109383,-1,98.28125,0.061645644,1695.785213,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
725,9,91,93.95479584,-1,0.162113888,-1,98.03125,0.059676776,1897.548763,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
726,10,101,94.05043793,-1,0.162830455,-1,98.40625,0.052872291,2099.038865,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
727,11,111,94.11586761,-1,0.160938953,-1,98.4375,0.053449342,2300.847826,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
728,12,121,94.11586761,-1,0.159033802,-1,98.03125,0.064912972,2493.220011,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
729,13,131,94.01016998,-1,0.161776216,-1,98.15625,0.056440224,2687.521096,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
730,14,141,94.07559967,-1,0.160625652,-1,98.53125,0.054334346,2893.365945,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
731,15,150,94.08567047,-1,0.159177303,-1,98.1875,0.054429639,3084.770709,8a0729ad-b903-4ef0-8ec4-d37086d5c1cf,4,celeba,3200,3,20100000,TRUE
732,0,1,57.31615067,-1,4584192.865,-1,53.5,74.91986206,61.17809987,9e98801c-cc23-42d9-affe-28fb9491d9ee,4,celeba,400,3,20100000,TRUE
733,1,21,87.7736969,-1,0.309784146,-1,91,0.272515775,209.9245467,9e98801c-cc23-42d9-affe-28fb9491d9ee,4,celeba,400,3,20100000,TRUE
734,2,41,88.18140411,-1,0.390295536,-1,94.5,0.121892669,365.0065575,9e98801c-cc23-42d9-affe-28fb9491d9ee,4,celeba,400,3,20100000,TRUE
735,3,61,86.93310547,-1,0.349574043,-1,91,0.199114392,503.7254322,9e98801c-cc23-42d9-affe-28fb9491d9ee,4,celeba,400,3,20100000,TRUE
736,4,81,88.66965485,-1,0.372117786,-1,95.75,0.110548831,645.4448423,9e98801c-cc23-42d9-affe-28fb9491d9ee,4,celeba,400,3,20100000,TRUE
737,5,100,88.95153046,-1,0.335157615,-1,95.25,0.125911104,787.9174728,9e98801c-cc23-42d9-affe-28fb9491d9ee,4,celeba,400,3,20100000,TRUE
