,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
2,41,66.79000091552730,-1.0,1.4653053833007800,-1.0,90.25,0.3130552816390990,381.8295452594760,43d91d70-09f8-494e-8016-3340dbbbfdec,0.0,cifar10,400,3,20100000
3,61,67.58999633789060,-1.0,1.3221221452713000,-1.0,94.75,0.181605486869812,539.1013493537900,43d91d70-09f8-494e-8016-3340dbbbfdec,0.0,cifar10,400,3,20100000
4,81,68.0,-1.0,1.3240192178726200,-1.0,92.75,0.2301746892929080,695.9236867427830,43d91d70-09f8-494e-8016-3340dbbbfdec,0.0,cifar10,400,3,20100000
5,100,68.02999877929690,-1.0,1.3219910040855400,-1.0,94.25,0.18942302823066700,848.3379924297330,43d91d70-09f8-494e-8016-3340dbbbfdec,0.0,cifar10,400,3,20100000
0,1,10.0,-1.0,57780385.1456,-1.0,32.75,30.83934783935550,67.92384886741640,8ea80522-4313-4da7-bbab-e0b9b8e654ea,3.0,cifar10,400,3,20100000
1,21,59.94999694824220,-1.0,2.577763874435430,-1.0,92.5,0.21893550157547000,223.87388610839800,8ea80522-4313-4da7-bbab-e0b9b8e654ea,3.0,cifar10,400,3,20100000
2,41,71.29000091552730,-1.0,1.8895995719909700,-1.0,99.0,0.025962179899215700,379.9057867527010,8ea80522-4313-4da7-bbab-e0b9b8e654ea,3.0,cifar10,400,3,20100000
3,61,71.16999816894530,-1.0,1.8618078237533600,-1.0,99.25,0.01706615686416630,537.2449533939360,8ea80522-4313-4da7-bbab-e0b9b8e654ea,3.0,cifar10,400,3,20100000
4,81,71.41999816894530,-1.0,1.771248651123050,-1.0,99.75,0.015033378601074200,693.3779308795930,8ea80522-4313-4da7-bbab-e0b9b8e654ea,3.0,cifar10,400,3,20100000
5,100,71.83999633789060,-1.0,1.735742664718630,-1.0,100.0,0.009627494812011720,846.7332110404970,8ea80522-4313-4da7-bbab-e0b9b8e654ea,3.0,cifar10,400,3,20100000
0,1,10.0,-1.0,490947.62035,-1.0,44.0,22.06671257019040,72.07123231887820,45c29d59-c5ca-424f-a406-6a4c2ca4cde2,3.0,cifar10,800,3,20100000
1,21,78.69999694824220,-1.0,1.038599900817870,-1.0,98.125,0.1160101467370990,297.867324590683,45c29d59-c5ca-424f-a406-6a4c2ca4cde2,3.0,cifar10,800,3,20100000
2,41,79.04999542236330,-1.0,0.9553424966812130,-1.0,99.875,0.011254571080207800,523.7650589942930,45c29d59-c5ca-424f-a406-6a4c2ca4cde2,3.0,cifar10,800,3,20100000
3,61,79.52999877929690,-1.0,0.9129255487442020,-1.0,100.0,0.010126729905605300,748.3671555519100,45c29d59-c5ca-424f-a406-6a4c2ca4cde2,3.0,cifar10,800,3,20100000
4,81,79.47999572753910,-1.0,0.919371051120758,-1.0,100.0,0.007663491368293760,972.8111698627470,45c29d59-c5ca-424f-a406-6a4c2ca4cde2,3.0,cifar10,800,3,20100000
5,100,79.30999755859380,-1.0,0.9136246047973630,-1.0,100.0,0.008308106660842900,1188.850643157960,45c29d59-c5ca-424f-a406-6a4c2ca4cde2,3.0,cifar10,800,3,20100000
0,1,28.709999084472700,-1.0,81.7460205810547,-1.0,11.0,18.130922317504900,63.33665609359740,6d2fb0de-be9a-4313-aaf5-9789882f5e4b,3.0,kmnist,100,3,20100000
1,21,20.059999465942400,-1.0,705.3704740234380,-1.0,100.0,0.0013293838128447500,150.86693453788800,6d2fb0de-be9a-4313-aaf5-9789882f5e4b,3.0,kmnist,100,3,20100000
2,41,39.07999801635740,-1.0,15.914758270263700,-1.0,100.0,0.00030171393882483200,237.37078380584700,6d2fb0de-be9a-4313-aaf5-9789882f5e4b,3.0,kmnist,100,3,20100000
3,61,48.61000061035160,-1.0,8.04739941253662,-1.0,100.0,0.00023947715817485000,324.918417930603,6d2fb0de-be9a-4313-aaf5-9789882f5e4b,3.0,kmnist,100,3,20100000
4,81,50.56999969482420,-1.0,7.147050811767580,-1.0,100.0,0.0002242660557385530,412.3973081111910,6d2fb0de-be9a-4313-aaf5-9789882f5e4b,3.0,kmnist,100,3,20100000
5,100,50.75,-1.0,7.054503042602540,-1.0,100.0,0.00022115706815384300,498.68415355682400,6d2fb0de-be9a-4313-aaf5-9789882f5e4b,3.0,kmnist,100,3,20100000
